code,term,snomed_id
52911000001107,Prednisolone 1mg tablets (Alliance Healthcare (Distribution) Ltd),52911000001107
238511000001107,Prednisolone 1mg tablets (Teva UK Ltd),238511000001107
646211000001106,Prednisolone 1mg tablets (Accord Healthcare Ltd),646211000001106
649711000001109,Prednisolone 1mg tablets (A A H Pharmaceuticals Ltd),649711000001109
707911000001100,Prednisolone 1mg tablets (Kent Pharmaceuticals Ltd),707911000001100
798611000001108,Prednisolone 1mg tablets (The Boots Company Plc),798611000001108
844111000001103,Prednisolone 1mg tablets (Wockhardt UK Ltd),844111000001103
9807711000001108,Prednisolone 1mg tablets (Almus Pharmaceuticals Ltd),9807711000001108
10409611000001103,Prednisolone 1mg tablets (Arrow Generics Ltd),10409611000001103
14786411000001103,Prednisolone 1mg tablets (Boston Healthcare Ltd),14786411000001103
15175511000001102,Prednisolone 1mg tablets (Sigma Pharmaceuticals Plc),15175511000001102
18285011000001109,Prednisolone 1mg tablets (Strides Pharma UK Ltd),18285011000001109
21851211000001107,Prednisolone 1mg tablets (Waymade Healthcare Plc),21851211000001107
30114811000001104,Prednisolone 1mg tablets (DE Pharmaceuticals),30114811000001104
30858911000001100,Prednisolone 1mg tablets (Mawdsley-Brooks & Company Ltd),30858911000001100
32807911000001101,Prednisolone 1mg tablets (Genesis Pharmaceuticals Ltd),32807911000001101
32772911000001108,Prednisolone 2.5mg tablets (Accord Healthcare Ltd),32772911000001108
32776111000001109,Prednisolone 2.5mg tablets (A A H Pharmaceuticals Ltd),32776111000001109
85511000001101,Prednisolone 5mg tablets (Actavis UK Ltd),85511000001101
86711000001103,Prednisolone 5mg tablets (The Boots Company Plc),86711000001103
110811000001100,Prednisolone 5mg tablets (Teva UK Ltd),110811000001100
350611000001104,Prednisolone 5mg tablets (Kent Pharmaceuticals Ltd),350611000001104
772111000001107,Prednisolone 5mg tablets (Alliance Healthcare (Distribution) Ltd),772111000001107
876911000001107,Prednisolone 5mg tablets (A A H Pharmaceuticals Ltd),876911000001107
940311000001100,Prednisolone 5mg tablets (Wockhardt UK Ltd),940311000001100
9807911000001105,Prednisolone 5mg tablets (Almus Pharmaceuticals Ltd),9807911000001105
10410111000001103,Prednisolone 5mg tablets (Arrow Generics Ltd),10410111000001103
14786811000001101,Prednisolone 5mg tablets (Boston Healthcare Ltd),14786811000001101
18285211000001104,Prednisolone 5mg tablets (Strides Pharma UK Ltd),18285211000001104
18625211000001107,Prednisolone 5mg tablets (Phoenix Healthcare Distribution Ltd),18625211000001107
21851411000001106,Prednisolone 5mg tablets (Waymade Healthcare Plc),21851411000001106
30115011000001109,Prednisolone 5mg tablets (DE Pharmaceuticals),30115011000001109
30859111000001105,Prednisolone 5mg tablets (Mawdsley-Brooks & Company Ltd),30859111000001105
32808311000001101,Prednisolone 5mg tablets (Genesis Pharmaceuticals Ltd),32808311000001101
380011000001100,Prednisolone 2.5mg gastro-resistant tablets (Accord Healthcare Ltd),380011000001100
685311000001104,Prednisolone 2.5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd),685311000001104
779211000001109,Prednisolone 2.5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),779211000001109
858811000001104,Prednisolone 2.5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),858811000001104
4208511000001105,Prednisolone 2.5mg gastro-resistant tablets (Approved Prescription Services Ltd),4208511000001105
15175711000001107,Prednisolone 2.5mg gastro-resistant tablets (Sigma Pharmaceuticals Plc),15175711000001107
17916411000001100,Prednisolone 2.5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),17916411000001100
17999311000001104,Prednisolone 2.5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),17999311000001104
18307011000001109,Prednisolone 2.5mg gastro-resistant tablets (Teva UK Ltd),18307011000001109
19743011000001109,Prednisolone 2.5mg gastro-resistant tablets (Almus Pharmaceuticals Ltd),19743011000001109
22452711000001102,Prednisolone 2.5mg gastro-resistant tablets (Waymade Healthcare Plc),22452711000001102
30114011000001105,Prednisolone 2.5mg gastro-resistant tablets (DE Pharmaceuticals),30114011000001105
36568211000001107,Prednisolone 2.5mg gastro-resistant tablets (Bristol Laboratories Ltd),36568211000001107
37130211000001109,Prednisolone 2.5mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd),37130211000001109
255211000001101,Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),255211000001101
447211000001105,Prednisolone 5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd),447211000001105
512811000001108,Prednisolone 5mg gastro-resistant tablets (Accord Healthcare Ltd),512811000001108
662011000001105,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),662011000001105
4208911000001103,Prednisolone 5mg gastro-resistant tablets (Approved Prescription Services Ltd),4208911000001103
15176111000001100,Prednisolone 5mg gastro-resistant tablets (Sigma Pharmaceuticals Plc),15176111000001100
17916811000001103,Prednisolone 5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),17916811000001103
17999611000001109,Prednisolone 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),17999611000001109
18307211000001104,Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd),18307211000001104
19743211000001104,Prednisolone 5mg gastro-resistant tablets (Almus Pharmaceuticals Ltd),19743211000001104
22453011000001108,Prednisolone 5mg gastro-resistant tablets (Waymade Healthcare Plc),22453011000001108
30114311000001108,Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals),30114311000001108
34444511000001106,Prednisolone 5mg gastro-resistant tablets (Bristol Laboratories Ltd),34444511000001106
37130611000001106,Prednisolone 5mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd),37130611000001106
313911000001107,Prednisolone 25mg tablets (Alliance Healthcare (Distribution) Ltd),313911000001107
716111000001103,Prednisolone 25mg tablets (A A H Pharmaceuticals Ltd),716111000001103
4852811000001108,Prednisolone 25mg tablets (Zentiva),4852811000001108
17917211000001102,Prednisolone 25mg tablets (Phoenix Healthcare Distribution Ltd),17917211000001102
30991311000001108,Prednisolone 25mg tablets (Accord Healthcare Ltd),30991311000001108
37131011000001108,Prednisolone 25mg tablets (Mawdsley-Brooks & Company Ltd),37131011000001108
37778711000001106,Prednisolone 25mg tablets (DE Pharmaceuticals),37778711000001106
32584711000001105,Prednisolone 1mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),32584711000001105
33425811000001105,Prednisolone 1mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),33425811000001105
33428411000001103,Prednisolone 1mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),33428411000001103
37130011000001104,Prednisolone 1mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd),37130011000001104
37778311000001107,Prednisolone 1mg gastro-resistant tablets (DE Pharmaceuticals),37778311000001107
32773211000001105,Prednisolone 20mg tablets (Accord Healthcare Ltd),32773211000001105
32776511000001100,Prednisolone 20mg tablets (A A H Pharmaceuticals Ltd),32776511000001100
13055311000001107,Prednisolone 15mg/5ml oral suspension (Special Order),13055311000001107
13055911000001108,Prednisolone 15mg/5ml oral solution (Special Order),13055911000001108
13120111000001109,Prednisolone 5mg/5ml oral suspension (Special Order),13120111000001109
13120411000001104,Prednisolone 5mg/5ml oral solution (Special Order),13120411000001104
13054411000001101,Prednisolone 10mg/5ml oral suspension (Special Order),13054411000001101
13054711000001107,Prednisolone 10mg/5ml oral solution (Special Order),13054711000001107
13056211000001105,Prednisolone 1mg/5ml oral suspension (Special Order),13056211000001105
13056511000001108,Prednisolone 1mg/5ml oral solution (Special Order),13056511000001108
13058011000001101,Prednisolone 20mg/5ml oral suspension (Special Order),13058011000001101
13058311000001103,Prednisolone 20mg/5ml oral solution (Special Order),13058311000001103
157711000001100,Prednisolone 5mg soluble tablets (Alliance Healthcare (Distribution) Ltd),157711000001100
157711000001100,Prednisolone 5mg soluble tablets (Alliance Healthcare (Distribution) Ltd),157711000001100
245011000001108,Prednisolone 5mg soluble tablets (A A H Pharmaceuticals Ltd),245011000001108
245011000001108,Prednisolone 5mg soluble tablets (A A H Pharmaceuticals Ltd),245011000001108
392511000001108,Prednisolone 5mg soluble tablets (Advanz Pharma),392511000001108
392511000001108,Prednisolone 5mg soluble tablets (Advanz Pharma),392511000001108
15172311000001102,Prednisolone 5mg soluble tablets (Sigma Pharmaceuticals Plc),15172311000001102
15172311000001102,Prednisolone 5mg soluble tablets (Sigma Pharmaceuticals Plc),15172311000001102
28937511000001104,Prednisolone 5mg soluble tablets (Focus Pharmaceuticals Ltd),28937511000001104
28937511000001104,Prednisolone 5mg soluble tablets (Focus Pharmaceuticals Ltd),28937511000001104
30114611000001103,Prednisolone 5mg soluble tablets (DE Pharmaceuticals),30114611000001103
30114611000001103,Prednisolone 5mg soluble tablets (DE Pharmaceuticals),30114611000001103
34035411000001102,Prednisolone 5mg soluble tablets (Actavis UK Ltd),34035411000001102
34035411000001102,Prednisolone 5mg soluble tablets (Actavis UK Ltd),34035411000001102
34172711000001106,Prednisolone 5mg soluble tablets (Phoenix Labs Ltd),34172711000001106
34172711000001106,Prednisolone 5mg soluble tablets (Phoenix Labs Ltd),34172711000001106
13056811000001106,Prednisolone 2.5mg/5ml oral suspension (Special Order),13056811000001106
13057411000001106,Prednisolone 2.5mg/5ml oral solution (Special Order),13057411000001106
32771211000001106,Prednisolone 10mg tablets (Accord Healthcare Ltd),32771211000001106
32776311000001106,Prednisolone 10mg tablets (A A H Pharmaceuticals Ltd),32776311000001106
29361211000001105,Prednisolone 5mg/5ml oral solution unit dose (Logixx Pharma Solutions Ltd),29361211000001105
29559211000001100,Prednisolone 5mg/5ml oral solution unit dose (A A H Pharmaceuticals Ltd),29559211000001100
32688311000001106,Prednisolone 5mg/5ml oral solution unit dose (Alliance Healthcare (Distribution) Ltd),32688311000001106
29879111000001105,Prednisolone 10mg/ml oral solution sugar free (Advanz Pharma),29879111000001105
30129111000001103,Prednisolone 10mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd),30129111000001103
37778511000001101,Prednisolone 10mg/ml oral solution sugar free (DE Pharmaceuticals),37778511000001101
37941611000001100,Prednisolone 10mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd),37941611000001100
32774411000001107,Prednisolone 30mg tablets (Actavis UK Ltd),32774411000001107
32776711000001105,Prednisolone 30mg tablets (A A H Pharmaceuticals Ltd),32776711000001105
459611000001100,Deltacortril 2.5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),459611000001100
331111000001100,Deltacortril 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),331111000001100
22519711000001105,Dilacort 2.5mg gastro-resistant tablets (Auden McKenzie (Pharma Division) Ltd),22519711000001105
22520311000001107,Dilacort 5mg gastro-resistant tablets (Auden McKenzie (Pharma Division) Ltd),22520311000001107
28798211000001102,Pevanti 2.5mg tablets (Advanz Pharma),28798211000001102
28799011000001102,Pevanti 5mg tablets (Advanz Pharma),28799011000001102
28799311000001104,Pevanti 10mg tablets (Advanz Pharma),28799311000001104
28799611000001109,Pevanti 20mg tablets (Advanz Pharma),28799611000001109
28799811000001108,Pevanti 25mg tablets (Advanz Pharma),28799811000001108
32652311000001103,Dilacort 2.5mg gastro-resistant tablets (Crescent Pharma Ltd),32652311000001103
32652511000001109,Dilacort 5mg gastro-resistant tablets (Crescent Pharma Ltd),32652511000001109
33577911000001102,Dilacort 5mg gastro-resistant tablets (Teva UK Ltd),33577911000001102
325426006,Prednisolone 1mg tablets,325426006
28808611000001100,Prednisolone 2.5mg tablets,28808611000001100
325427002,Prednisolone 5mg tablets,325427002
325442004,Prednisolone 2.5mg gastro-resistant tablets,325442004
325443009,Prednisolone 5mg gastro-resistant tablets,325443009
325450008,Prednisolone 25mg tablets,325450008
32611811000001105,Prednisolone 1mg gastro-resistant tablets,32611811000001105
28808711000001109,Prednisolone 20mg tablets,28808711000001109
416533002,Prednisolone 15mg/5ml oral solution,416533002
432225008,Prednisolone 15mg/5ml oral suspension,432225008
432224007,Prednisolone 5mg/5ml oral suspension,432224007
13133111000001100,Prednisolone 5mg/5ml oral solution,13133111000001100
429995001,Prednisolone 10mg/5ml oral solution,429995001
13078611000001106,Prednisolone 10mg/5ml oral suspension,13078611000001106
13078911000001100,Prednisolone 1mg/5ml oral solution,13078911000001100
13079011000001109,Prednisolone 1mg/5ml oral suspension,13079011000001109
13079311000001107,Prednisolone 20mg/5ml oral solution,13079311000001107
13079411000001100,Prednisolone 20mg/5ml oral suspension,13079411000001100
325444003,Prednisolone 5mg soluble tablets,325444003
325444003,Prednisolone 5mg soluble tablets,325444003
13079111000001105,Prednisolone 2.5mg/5ml oral solution,13079111000001105
13079211000001104,Prednisolone 2.5mg/5ml oral suspension,13079211000001104
28808411000001103,Prednisolone 10mg tablets,28808411000001103
29424511000001109,Prednisolone 5mg/5ml oral solution unit dose,29424511000001109
29904211000001102,Prednisolone 10mg/ml oral solution sugar free,29904211000001102
32781411000001102,Prednisolone 30mg tablets,32781411000001102
13078511000001107,VMP previous to 429995001,13078511000001107
13078711000001102,VMP previous to 416533002,13078711000001102
13078811000001105,VMP previous to 432225008,13078811000001105
13133211000001106,VMP previous to 432224007,13133211000001106
39722711000001103,VMP subsequent to 325444003,39722711000001103
42086511000001108,VMP subsequent to 429995001,42086511000001108
42086611000001107,VMP subsequent to 416533002,42086611000001107
42086711000001103,VMP subsequent to 432225008,42086711000001103
42086811000001106,VMP subsequent to 325426006,42086811000001106
42086911000001101,VMP subsequent to 325442004,42086911000001101
42087011000001102,VMP subsequent to 325450008,42087011000001102
42087211000001107,VMP subsequent to 325443009,42087211000001107
42087311000001104,VMP subsequent to 325427002,42087311000001104
42087411000001106,VMP subsequent to 432224007,42087411000001106
